user_id,item_id,score,user_id_pair,pos,fake
4235,4542,1,[135],[-1.0],1
4251,17578,0,[468],[-1.0],1
6558,10070,0,[3489],[-1.0],1
650,1392,1,[5659],[1.0],0
4528,14979,1,[68],[-1.0],1
4000,14856,0,[4825],[-1.0],0
4868,9678,0,[638],[-1.0],1
782,12111,0,[4130],[1.0],0
4615,7852,1,[509],[-1.0],1
917,5625,1,[4891],[-1.0],0
50,276,1,[4147],[-1.0],0
158,7709,1,[4906],[1.0],0
144,13172,1,[4142],[1.0],0
4336,1716,1,[65],[-1.0],1
2724,13054,1,[4535],[1.0],0
5160,8315,1,[44],[-1.0],1
5259,3600,1,[1544],[1.0],1
2681,7928,0,[5182],[-1.0],0
4453,16407,1,[105],[-1.0],1
5220,1582,1,[656],[1.0],1
4348,14831,1,[59],[-1.0],1
1117,5572,1,[4158],[1.0],0
505,14711,1,[4258],[1.0],0
193,8704,1,[5792],[1.0],0
2453,12753,0,[4766],[-1.0],0
4588,8058,0,[797],[1.0],1
123,4379,1,[4396],[-1.0],0
427,3012,1,[4238],[1.0],0
4316,11694,1,[2222],[-1.0],1
172,9788,1,[5186],[1.0],0
4190,8916,0,[97],[1.0],1
112,2507,0,[4807],[-1.0],0
4383,15034,1,[103],[-1.0],1
4619,15245,1,[1052],[1.0],1
5540,7631,0,[297],[-1.0],1
5029,12738,1,[121],[-1.0],1
74,13485,1,[4228],[1.0],0
1025,15184,1,[4489],[1.0],0
48,9261,1,[4149],[1.0],0
891,15860,1,[4163],[-1.0],0
4740,8941,1,[435],[-1.0],1
4814,13078,1,[2457],[-1.0],1
6384,12332,0,[1571],[1.0],1
1229,7681,1,[5512],[1.0],0
4427,1095,0,[210],[1.0],1
52,12538,1,[4947],[1.0],0
4880,1940,1,[332],[-1.0],1
682,5615,0,[5642],[-1.0],0
4566,5582,0,[594],[-1.0],1
4194,15749,1,[456],[1.0],1
750,13135,1,[4797],[-1.0],0
64,14925,1,[4547],[1.0],0
5398,7400,0,[2406],[-1.0],1
481,9319,0,[4139],[1.0],0
4582,340,1,[462],[-1.0],1
1219,2507,1,[4569],[1.0],0
4486,2,1,[120],[-1.0],1
4330,5241,1,[438],[-1.0],1
5933,1443,0,[992],[-1.0],1
4387,5205,0,[472],[-1.0],1
20,1384,1,[4934],[1.0],0
5083,7269,1,[1368],[-1.0],1
122,15795,1,[4400],[1.0],0
5010,8270,1,[151],[1.0],1
4913,9762,0,[644],[1.0],1
3137,12311,0,[5744],[1.0],0
177,283,1,[4219],[1.0],0
434,21,1,[5045],[1.0],0
878,7385,1,[5132],[1.0],0
4217,8042,0,[718],[-1.0],1
2647,15048,1,[4709],[1.0],0
434,4396,1,[5045],[1.0],0
4668,6469,0,[463],[-1.0],1
4148,13134,1,[106],[1.0],1
104,13860,1,[4369],[1.0],0
482,1764,1,[4686],[1.0],0
5968,16535,0,[3572],[1.0],1
425,957,1,[4260],[1.0],0
4842,972,1,[223],[-1.0],1
5485,12969,1,[1886],[-1.0],1
1128,5491,0,[5909],[-1.0],0
4148,13869,0,[106],[1.0],1
996,1412,0,[6241],[1.0],0
789,4396,0,[4951],[-1.0],0
5932,8103,0,[369],[1.0],1
4720,14724,0,[2],[1.0],1
2327,9697,1,[4666],[1.0],0
3128,11738,0,[4138],[1.0],0
114,8252,1,[4195],[1.0],0
87,13173,1,[4810],[1.0],0
6388,12144,0,[3080],[-1.0],1
57,13717,1,[4930],[1.0],0
5538,6670,1,[698],[1.0],1
1147,1591,1,[5250],[1.0],0
1406,1982,1,[6236],[-1.0],0
886,15381,1,[4232],[-1.0],0
5603,13216,1,[286],[1.0],1
33,7647,1,[4710],[-1.0],0
4325,12930,1,[445],[1.0],1
4493,5479,0,[222],[1.0],1
4303,8968,1,[444],[-1.0],1
4254,12556,1,[930],[1.0],1
4193,14225,1,[464],[-1.0],1
5077,51,1,[142],[1.0],1
466,5119,1,[4717],[-1.0],0
5790,12744,1,[2774],[-1.0],1
4369,16265,0,[104],[-1.0],1
467,14705,1,[4301],[1.0],0
1344,11968,1,[6260],[1.0],0
4849,15019,1,[143],[-1.0],1
4516,5592,1,[613],[1.0],1
4187,13858,1,[478],[-1.0],1
4788,12922,1,[514],[-1.0],1
98,4985,1,[4221],[1.0],0
4651,13725,1,[455],[-1.0],1
4562,930,1,[433],[-1.0],1
5067,12724,0,[788],[1.0],1
6212,5612,0,[2572],[-1.0],1
5183,9745,1,[625],[1.0],1
5726,12159,0,[2850],[-1.0],1
1,4126,1,[4659],[1.0],0
4194,15804,1,[456],[1.0],1
4139,2486,0,[481],[-1.0],1
208,3704,1,[4174],[1.0],0
4734,16024,1,[1428],[1.0],1
536,316,0,[4848],[-1.0],0
5029,4039,1,[121],[-1.0],1
4582,13419,0,[462],[-1.0],1
4358,10393,0,[465],[-1.0],1
4892,7871,1,[2692],[-1.0],1
2974,14687,0,[4447],[-1.0],0
5866,8166,0,[737],[-1.0],1
4206,5053,0,[85],[1.0],1
107,14692,0,[4393],[1.0],0
4178,6528,1,[69],[-1.0],1
491,5896,1,[4179],[1.0],0
490,8346,1,[4504],[1.0],0
143,3133,1,[4849],[1.0],0
4384,4133,1,[66],[-1.0],1
4515,3340,1,[454],[1.0],1
4305,2965,1,[452],[1.0],1
4228,607,1,[74],[-1.0],1
829,12337,0,[5389],[1.0],0
154,2959,0,[4166],[1.0],0
66,69,1,[4384],[1.0],0
4439,8641,0,[507],[-1.0],1
4560,13081,1,[453],[-1.0],1
4212,15828,1,[471],[-1.0],1
4663,9217,1,[12],[1.0],1
2817,11925,1,[5216],[-1.0],0
4387,4086,1,[472],[-1.0],1
4593,9288,1,[159],[-1.0],1
4627,15292,0,[469],[-1.0],1
137,3885,0,[4508],[1.0],0
4282,5750,1,[584],[1.0],1
73,12327,1,[4365],[1.0],0
4519,7732,0,[868],[1.0],1
1509,12333,1,[4502],[-1.0],0
1230,10206,0,[4266],[1.0],0
6444,13077,1,[1971],[1.0],1
493,11789,1,[4409],[1.0],0
4222,8246,0,[67],[-1.0],1
4235,2993,1,[135],[-1.0],1
4233,5583,1,[194],[-1.0],1
840,7463,1,[4873],[1.0],0
4232,7325,0,[886],[1.0],1
4504,1301,1,[490],[-1.0],1
4395,10038,0,[2286],[-1.0],1
309,17717,0,[5785],[1.0],0
1048,1141,0,[4543],[-1.0],0
4344,13488,0,[82],[-1.0],1
